,KOI,feh,feh_errm,feh_errp,logg,logg_errm,logg_errp,period,period_errm,period_errp,teff,teff_errm,teff_errp
505,1861,-0.06,-0.3,0.26,3.8710000000000004,-0.142,0.386,6.626890076422432,1.001655345414878,1.001565953209704,6112.0,-170.0,152.0
506,1862,-0.06,-0.36,0.24,4.194,-0.35100000000000003,0.131,27.37265273333989,1.0738509913056316,1.0318591237648613,6712.0,-217.0,145.0
507,1863,-0.26,-0.3,0.24,4.467,-0.305,0.048,11.779507472976634,1.0024590820846195,1.0024252640331746,6225.0,-187.0,152.0
508,1864,0.28,-0.101,0.101,4.168,-0.039,0.039,26.104205164587487,1.0049986536052993,1.008013988489953,6215.0,-89.0,89.0
509,1875,-0.18,-0.26,0.28,4.564,-0.289,0.03,25.127722499337384,1.1227441504544382,1.1191328448102744,5637.0,-135.0,149.0
510,1877,-0.28,-0.3,0.26,4.338,-0.29100000000000004,0.10400000000000001,26.126501783695005,1.0025192224819546,1.0022357533244126,6324.0,-196.0,156.0
511,1878,-0.08,-0.3,0.22,4.303,-0.34600000000000003,0.113,13.082305992845809,1.1126859373513698,1.13965866100309,6303.0,-209.0,157.0
512,1883,-0.09,-0.101,0.101,4.07,-0.011000000000000001,0.011000000000000001,11.724175654517065,1.003509953448313,1.003649711314709,6072.0,-75.0,75.0
513,1886,-0.44,-0.3,0.26,4.28,-0.242,0.152,7.832095855042248,1.011652946464298,1.0488430974763177,6387.0,-245.0,189.0
514,1888,-0.08,-0.3,0.2,4.434,-0.308,0.053,7.6679625879946185,1.0093237948171117,1.0079514333450355,6148.0,-185.0,141.0
515,1889,-0.2,-0.3,0.27,4.343999999999999,-0.276,0.111,19.929576799140122,1.0024422976173801,1.002492394025598,6143.0,-188.0,157.0
516,1890,-0.14,-0.3,0.24,4.519,-0.31,0.034,6.921621853595866,1.0082203850944487,1.009087114144358,5941.0,-175.0,155.0
517,1893,0.06,-0.16,0.08,4.388999999999999,-0.131,0.055999999999999994,0.7048578111725003,0.40895286065886877,0.4028885081886645,6086.0,-131.0,86.0
518,1894,-0.1,-0.101,0.101,4.09,-0.011000000000000001,0.011000000000000001,42.79658976912037,1.1748215511894078,1.086699019006897,5588.0,,99.0
519,1897,-0.32,-0.26,0.34,4.513999999999999,-0.275,0.057,25.684639129054364,1.0034745021299218,1.0074870530720565,5615.0,-137.0,165.0
520,1898,-0.56,-0.28,0.36,4.6,-0.185,0.037000000000000005,14.227045586410487,1.0085611595925843,1.0103775730879472,5533.0,-180.0,219.0
521,1901,-0.38,-0.26,0.32,4.582,-0.215,0.031,14.101196105869246,1.005872867175812,1.006160175375693,5674.0,-139.0,153.0
522,1904,-0.12,-0.28,0.32,3.835,-0.18100000000000002,0.41700000000000004,21.155653500125744,1.0015096091313236,1.0015661623389398,5970.0,-193.0,189.0
523,1905,-0.26,-0.3,0.22,4.3580000000000005,-0.305,0.087,24.33219416690264,1.001907536392585,1.0018526581465987,6400.0,-208.0,158.0
524,1909,-0.36,-0.3,0.36,3.9210000000000003,-0.392,0.639,16.90454026920651,1.0030167957646512,1.0033824040481114,5351.0,-155.0,157.0
525,1913,0.24,-0.24,0.18,3.892,-0.402,0.674,21.805348860782185,1.0022372134704192,1.002511923769976,4897.0,-114.0,131.0
526,1915,-0.48,-0.28,0.3,4.585,-0.233,0.03,13.777980839073074,1.0030821334790672,1.0030870393287998,5770.0,-140.0,157.0
527,1916,-0.4,-0.28,0.34,4.637,-0.09300000000000001,0.032,10.410977333848722,1.002624459443379,1.00251208306413,5114.0,-167.0,187.0
528,1917,0.12,-0.26,0.2,4.368,-0.249,0.11199999999999999,15.658386575756555,1.1702558439296238,1.0979559945071267,5714.0,-153.0,151.0
529,1921,-0.44,-0.3,0.28,4.4030000000000005,-0.258,0.094,5.828511860198701,1.011247367442644,1.0124507209415197,6143.0,-178.0,160.0
530,1923,-0.22,-0.3,0.24,4.401,-0.31,0.068,14.284791863013718,1.0156146534328299,1.0584770772466359,6338.0,-234.0,176.0
531,1924,-0.12,-0.3,0.22,4.276,-0.327,0.131,17.76200896796885,1.0087209993002526,1.0115568907097878,6327.0,-202.0,160.0
532,1925,-0.2,-0.32,0.34,4.631,-0.049,0.04,27.959702742655914,1.0113208855346012,1.0836570788445512,4628.0,-155.0,178.0
533,1928,0.14,-0.28,0.2,3.924,-0.156,0.34299999999999997,18.551849155614853,1.0070364217800571,1.0080933371600473,5895.0,-164.0,158.0
534,1929,-0.06,-0.3,0.2,4.494,-0.268,0.043,6.202704984749433,1.2658213415294002,1.512496496068219,5999.0,-178.0,142.0
535,1930,-0.52,-0.28,0.36,4.57,-0.237,0.044000000000000004,27.807983026712396,1.0829102494758893,1.1917660749383105,5578.0,-142.0,176.0
536,1944,0.29,-0.101,0.101,4.082,-0.011000000000000001,0.011000000000000001,13.308117929853374,1.0019741630296357,1.0019688553097472,5770.0,-83.0,83.0
537,1947,0.02,-0.101,0.101,4.125,-0.009000000000000001,0.009000000000000001,33.27377291935459,1.0222873501671097,1.022644309436086,5825.0,-75.0,75.0
538,1951,-0.26,-0.24,0.33,4.363,-0.28,0.161,13.8166439313889,1.0445694984674585,1.0555424328830239,5587.0,-134.0,165.0
539,1955,-0.08,-0.26,0.26,4.546,-0.295,0.027999999999999997,7.25401019529697,1.0144595234350922,1.0182949119462035,5717.0,-151.0,160.0
540,1958,-0.14,-0.3,0.26,4.01,-0.212,0.312,10.61202374221459,1.002234081299952,1.0022041262797856,6223.0,-233.0,186.0
541,1960,-0.02,-0.14,0.12,4.39,-0.14300000000000002,0.07,6.901937799597882,1.3427569640623531,1.034292209135339,5934.0,-125.0,108.0
542,1961,0.33,-0.101,0.101,4.263,-0.012,0.012,20.979176615350315,1.0026157932989321,1.002681282562823,6106.0,-106.0,106.0
543,1962,-0.62,-0.28,0.32,4.593,-0.303,0.028999999999999998,27.451346300695928,1.0428801229919562,1.0775794008922184,5827.0,-139.0,157.0
544,1963,0.07,-0.31,0.17,4.478,-0.318,0.039,14.361297033865803,1.0019591953428453,1.001895387978718,6046.0,-183.0,137.0
545,1964,-0.54,-0.3,0.3,4.254,-0.215,0.185,26.252452225174487,1.2323516870082285,1.0037493437788227,6279.0,-197.0,180.0
546,1979,0.21,-0.39,0.15,4.401,-0.305,0.057999999999999996,23.897721897328303,1.0359468698909708,1.0452489113179886,6299.0,-246.0,177.0
547,1980,-0.16,-0.3,0.24,4.367,-0.284,0.094,22.4935670066711,1.0014545582010765,1.0014240157394736,6112.0,-173.0,142.0
548,1984,-0.08,-0.3,0.24,4.363,-0.268,0.102,13.908912649984456,1.0053119395475087,1.0051225671820017,6002.0,-178.0,153.0
549,1985,0.14,-0.24,0.24,4.434,-0.452,0.11,25.42937844851553,1.0031612693358147,1.0030992310377609,5213.0,-142.0,173.0
550,1989,-0.1,-0.3,0.28,3.9810000000000003,-0.191,0.332,19.45922138899481,1.0021826536843303,1.0020295948816722,6085.0,-183.0,158.0
551,2001,0.56,-0.3,0.3,4.481,-0.885,0.08800000000000001,16.637931412612865,1.0016464748625529,1.001679903226292,4818.0,-108.0,142.0
552,2002,-0.14,-0.101,0.101,4.247,-0.008,0.008,10.066965934750428,1.0022016792207638,1.0022517218140772,6239.0,-94.0,94.0
553,2004,-0.14,-0.26,0.3,4.114,-0.23800000000000002,0.28,22.367335281677732,1.0486808234485463,1.0709316761641736,5738.0,-165.0,190.0
554,2007,-0.16,-0.14,0.16,4.401,-0.145,0.09,15.026946029451906,1.0022465741798747,1.0021927730486742,5798.0,-112.0,109.0
555,2009,-0.08,-0.3,0.22,4.506,-0.273,0.039,21.318221524812568,1.0915718135376566,1.0490282416391432,5957.0,-187.0,154.0
556,2010,0.1,-0.4,0.2,3.216,-0.243,0.381,7.116868179323287,1.0157332089666864,1.012907114554063,5177.0,-203.0,143.0
557,2011,0.0,-0.28,0.21,4.5169999999999995,-0.311,0.032,4.036108710899474,1.0098461466153823,1.0097775327124248,5831.0,-169.0,150.0
558,2016,-0.14,-0.26,0.26,4.552,-0.305,0.027999999999999997,19.690139450105182,1.0042528071949879,1.0045405602815727,5751.0,-145.0,146.0
559,2017,-0.1,-0.28,0.26,4.251,-0.243,0.18,12.042569745851841,1.002479187921307,1.0022696790599,5941.0,-205.0,181.0
560,2026,-0.22,-0.26,0.28,4.553999999999999,-0.29,0.028999999999999998,9.829404036470393,1.0022025427590098,1.0021924788233845,5821.0,-154.0,152.0
561,2029,0.12,-0.16,0.09,4.321000000000001,-0.13699999999999998,0.087,16.060834236889626,1.001846436449347,1.001899574592863,6036.0,-130.0,98.0
562,2033,0.02,-0.32,0.2,4.349,-0.39399999999999996,0.076,15.787101094477988,1.0180429624412322,1.0200874291128543,6388.0,-225.0,141.0
563,2035,-0.12,-0.12,0.18,4.3180000000000005,-0.114,0.14,7.166906826168227,1.0016260358598836,1.0016034804844243,5598.0,-85.0,110.0
564,2037,-0.1,-0.3,0.26,3.985,-0.196,0.326,10.680183396214204,1.0017502457160836,1.0018607100027102,6164.0,-179.0,158.0
565,2038,0.0,-0.16,0.08,4.457,-0.115,0.027000000000000003,23.853496608548568,1.0027304825492103,1.0026823921899393,6102.0,-132.0,83.0
566,2039,0.12,-0.16,0.1,4.503,-0.157,0.027000000000000003,17.35810733886427,1.0017379458519606,1.0016920099365365,5726.0,-123.0,106.0
567,2040,-0.14,-0.3,0.22,4.284,-0.302,0.136,0.7245596770480192,0.6218898660623571,0.4070460126092255,6295.0,-243.0,182.0
568,2043,-0.3,-0.28,0.36,4.593999999999999,-0.221,0.031,12.075334099875548,1.0058811348925552,1.0061857152706413,5463.0,-173.0,211.0
569,2044,-0.36,-0.26,0.36,4.547,-0.878,0.067,17.55068410638917,1.0053791608540332,1.0055161902731098,5133.0,-123.0,154.0
570,2046,0.17,-0.109,0.109,4.055,-0.011000000000000001,0.011000000000000001,13.848743360084931,1.2751730586230035,1.1518930610050528,5871.0,-94.0,94.0
571,2047,0.16,-0.12,0.16,4.545,-0.019,0.039,10.918119062092329,1.0037839020986397,1.003711949924926,4723.0,-86.0,102.0
572,2048,0.07,-0.15,0.14,4.581,-0.12300000000000001,0.01,16.94529522435545,1.0013928342659648,1.0014470630618522,5377.0,-105.0,103.0
573,2049,0.07,-0.21,0.05,4.466,-0.098,0.023,15.695245185883962,1.0194556228754026,1.0116086505471864,6108.0,-122.0,83.0
574,2051,0.48,-0.18,0.08,4.325,-0.165,0.094,0.5816107056424331,0.8763692859297769,0.5742544805730466,5761.0,-150.0,85.0
575,2053,-0.14,-0.14,0.16,4.522,-0.127,0.033,10.238925822538882,1.009630040630314,1.0116573763952916,5564.0,-104.0,109.0
576,2071,0.21,-0.15,0.09,4.476,-0.159,0.035,32.856503847339404,1.0073632574371236,1.0057413516780518,5750.0,-128.0,115.0
577,2072,-0.32,-0.32,0.22,4.456,-0.312,0.048,20.45440649414752,1.0337528710337316,1.0301275237193563,6363.0,-187.0,149.0
578,2079,-0.58,-0.26,0.3,4.467,-0.27899999999999997,0.078,33.058620035624884,1.0411189186981527,1.0429385364530719,6042.0,-159.0,154.0
579,2081,-0.44,-0.26,0.3,4.395,-0.252,0.126,1.0694345679183268,473.92252346230526,16227.659385244098,5893.0,-148.0,158.0
580,2082,-0.52,-0.26,0.3,4.582,-0.299,0.03,15.374055176604296,1.0165650114909492,1.0172886052739145,5850.0,-143.0,158.0
581,2083,-0.02,-0.16,0.1,4.4,-0.105,0.046,10.492810343255234,1.0053335902157543,1.0058459448975166,6210.0,-113.0,100.0
582,2086,0.12,-0.16,0.09,4.354,-0.13699999999999998,0.06,13.226943879761953,1.0301590729223504,1.040270653051289,6156.0,-135.0,78.0
583,2087,0.13,-0.101,0.101,4.022,-0.012,0.012,14.051045305831977,1.0022648721516996,1.0022646004421165,6144.0,-106.0,106.0
584,2093,0.07,-0.13,0.14,4.551,-0.10800000000000001,0.011000000000000001,15.52821258259601,1.0119740210528467,1.0138631621484127,5650.0,-113.0,98.0
585,2098,0.19,-0.109,0.109,3.614,-0.016,0.016,20.87772261259373,1.1337503712727002,1.0612467083245058,5198.0,-95.0,95.0
586,2105,-0.08,-0.14,0.15,4.529,-0.107,0.017,16.533967377871303,1.0045694347367506,1.0047202282052297,5838.0,-118.0,116.0
587,2109,-0.12,-0.3,0.2,4.45,-0.294,0.045,11.26441268504587,1.0031092674891648,1.0032422679394484,6225.0,-190.0,159.0
